Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount
1,5,4,Line,1,0,397.543708288787,0.088154768323637,387.494516090228,0.996143129700757,-0.0877431772275278,409.57339069259,1.81577498992176,4.54520234107402,3.12939942836553,0,0,451.5,1
1,5,5,Line,1,0,345.684827552498,0.124713803286297,340.72422866594,0.992004593636893,-0.126201767829546,351.734168745628,1.11022302462516E-16,3.46963653198525,0.69867156990104,0,0,404.803571428571,1
1,5,6,Infinity,-0.832050294337844,0.554700196225229,248.467301671669,0.387980079512874,18.7882942280559,-0.904818702200994,0.42579703632988,610.222376058979,1.27675647831893E-15,12.6716119149833,3.52914112148429,610.222376058979,1,385.476744186047,1
1,5,7,Line,0.894427190999916,0.447213595499958,349.656974762409,0.0973920485700292,344.583806932363,0.995403710503803,-0.0957677039260218,355.53981986577,0.463647609000806,2.35775178219564,0.454337430299108,0,0,416.56862745098,1
1,6,1,Line,0.707106781186547,0.707106781186547,340.602407507639,0.0970393859819995,337.520369755664,0.995495472593952,-0.0948090926279954,344.99659968631,0.321750554396642,5.88803292189663,1.776646577416,344.99659968631,1,435.333333333333,1
1,6,2,Pound,-0.707106781186547,-0.707106781186547,314.428052183643,0.656859092848612,177.369670462568,0.868243142124459,0.496138938356834,866.154057449412,-0.142429329723185,15.2852405963094,10.5178541719715,433.077028724706,2,359.722222222222,4
1,6,3,Psi,-0.707106781186547,-0.707106781186547,255.054896051811,0.882584062369218,189.235303260253,0.470313934380412,0.882499180241896,493.812981591771,7.06858347057704,11.6696345379636,5.50800070550787,493.812981591771,1,388.619565217391,2
1,6,4,Pound,0,1,287.767267075323,0.716541674096404,183.983694929741,0.733760674018169,0.679408031498305,796.781553282015,-0.649845983693012,8.37173814912927,3.76369840724207,398.390776641007,2,340,4
1,6,5,Infinity,-0.948683298050514,0.316227766016838,251.366266630986,0.479660475106158,44.7213595499958,-0.178885438199983,0.983869910099907,625.625991101064,0.463647609000806,11.5134835586578,2.81624240047325,625.625991101064,1,394.190476190476,1
1,6,6,Line,1,0,352.512411129027,0.0539249424217464,347.519783609509,0.998504304980539,-0.0546731463822197,358.022233117489,0,2.63712235879095,0.374259115205521,0,0,353.519230769231,1
