Set,Seq,Shape,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime
1,5,3,-0.707106781186547,0.707106781186547,278.657495861855,0.805699942256667,217.462640469576,0.381674754894794,0.924296695588597,646.51063298253,NaN,NaN,NaN,646.51063298253,1
1,5,4,1,0,397.543708288787,0.088154768323637,387.494516090228,0.996143129700757,-0.0877431772275278,409.57339069259,NaN,NaN,NaN,0,0
1,5,5,1,0,345.684827552498,0.124713803286297,340.72422866594,0.992004593636893,-0.126201767829546,351.734168745628,NaN,NaN,NaN,0,0
1,5,6,-0.832050294337844,0.554700196225229,248.467301671669,0.387980079512874,18.7882942280559,-0.904818702200994,0.42579703632988,610.222376058979,1.27675647831893E-15,12.6716119149833,3.52914112148429,610.222376058979,1
1,5,7,0.894427190999916,0.447213595499958,349.656974762409,0.0973920485700292,344.583806932363,0.995403710503803,-0.0957677039260218,355.53981986577,NaN,NaN,NaN,0,0
1,6,1,0.707106781186547,0.707106781186547,340.602407507639,0.0970393859819995,337.520369755664,0.995495472593952,-0.0948090926279954,344.99659968631,NaN,NaN,NaN,344.99659968631,1
1,6,2,-0.707106781186547,-0.707106781186547,314.428052183643,0.656859092848612,177.369670462568,0.868243142124459,0.496138938356834,1484.27896369833,NaN,NaN,NaN,742.139481849166,2
1,6,3,-0.707106781186547,-0.707106781186547,255.054896051811,0.882584062369218,189.235303260253,0.470313934380412,0.882499180241896,570.056014060318,NaN,NaN,NaN,570.056014060318,1
1,6,4,0,1,287.767267075323,0.716541674096404,183.983694929741,0.733760674018169,0.679408031498305,1365.75648018329,NaN,NaN,NaN,682.878240091645,2
1,6,5,-0.948683298050514,0.316227766016838,251.366266630986,0.479660475106158,44.7213595499958,-0.178885438199983,0.983869910099907,625.625991101064,0.463647609000806,11.5134835586578,2.81624240047325,625.625991101064,1
1,6,6,1,0,352.512411129027,0.0539249424217464,347.519783609509,0.998504304980539,-0.0546731463822197,358.022233117489,NaN,NaN,NaN,0,0
1,6,7,-0.832050294337844,0.554700196225229,238.247770188936,0.382844642531315,23.7065391822594,0.464006994670558,0.885831535280155,581.416973059177,-0.183110817262484,11.1214994682091,2.78141101536264,0,0
1,6,8,0,-1,530.212221662232,0.366496785851258,355.75553403988,-0.981010740822032,0.193953412941892,997.80863815429,NaN,NaN,NaN,332.602879384763,3
1,6,8,1,0,266.413212885547,0.721654850864761,189.805163259591,0.605884466075972,0.795552646760624,596.551663107866,NaN,NaN,NaN,596.551663107866,1
1,7,1,0,1,398.670289838608,0.563651120280658,241.962807059267,0.929894981524529,0.367825126025258,1728.54425481782,NaN,NaN,NaN,1728.54425481782,1
1,7,2,-1,0,303.402373095531,0.647456262856224,214.755675128738,0.530835797152561,0.847474693699703,689.880347325057,NaN,NaN,NaN,689.880347325057,1
1,7,3,1,0,377.895488197464,0.0688564893010446,369.914855068028,0.997526849610136,-0.0702864446879771,386.451565698438,NaN,NaN,NaN,0,0
1,7,4,1,0,381.797066515708,0.0970624556292605,379.806529696371,0.995243552821973,-0.0974180197206693,384.903963164308,NaN,NaN,NaN,384.903963164308,1
1,7,5,0,1,780.779738466618,0.207694115614678,491.089604858421,-0.993708673879767,0.111995854638088,1304.66340917031,NaN,NaN,NaN,434.887803056771,3
1,7,5,-0.832050294337844,-0.554700196225229,282.08154849263,0.598818307649815,188.732615093417,0.646417154446853,0.762984182297925,619.967971110584,NaN,NaN,NaN,309.983985555292,2
1,7,6,0,1,254.017715917611,0.465408170562087,29.6816441593117,-0.539053696423367,0.842271400661511,641.270431474662,-1.05165021254837,10.0977953505933,2.34259609453598,641.270431474662,1
1,7,7,-0.948683298050514,0.316227766016838,242.404620418011,0.452577950470699,32.4499614791759,-0.832050294337844,0.554700196225229,612.124665616091,0.197395559849881,11.7214943105377,2.84325457094806,612.124665616091,1
1,7,8,0,-1,325.935576456453,0.672345163386113,190.157829184075,0.925546956205677,0.378632845720504,1492.75148787354,NaN,NaN,NaN,746.375743936768,2
2,1,1,0.98058067569092,-0.196116135138184,333.516116552109,0.617112514746079,8.94427190999916,-0.447213595499958,-0.894427190999916,865.477298290459,NaN,NaN,NaN,432.738649145229,2
2,1,2,0,-1,247.891105124811,0.728317380991184,64.6606526413088,0.525822097537551,0.850594569546038,831.922043600267,NaN,NaN,NaN,831.922043600267,1
2,1,3,-0.894427190999916,-0.447213595499958,202.632672587616,0.84825232382302,112.008928215567,0.990992430410323,-0.133917896001395,709.214920319403,NaN,NaN,NaN,709.214920319403,1
2,1,3,-0.447213595499958,-0.894427190999916,358.987464962218,0.506016253732621,239.301065605651,0.998741896092736,-0.0501460366239031,1048.1994449738,NaN,NaN,NaN,524.099722486901,2
2,1,4,1,0,245.458754172672,0.344942271857629,223.181540455298,0.999186579432474,0.0403259157618487,668.11240587655,NaN,NaN,NaN,0,0
2,2,1,-1,0,263.372359977276,0.696682853230324,19.1049731745428,0.732793491626299,0.680451099367278,702.854013553866,NaN,NaN,NaN,702.854013553866,1
2,2,2,0.986393923832144,-0.164398987305357,187.856328080797,0.308283355149273,168.074388292803,0.981708169078995,0.190391887336532,537.194019150352,NaN,NaN,NaN,0,0
