Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,3,2,Pound,-0.316227766,0.9486832981,301.5725451695,0.8934660584,188.0425483767,0.4892509743,0.8721430411,861.5508641835,NaN,NaN,NaN,430.7754320918,2,633.2777777778,4,0,40346.9234979558,-100,6.1918342845
1,3,3,Line,-0.7071067812,0.7071067812,324.8876728963,0.0739390377,309.854804707,0.9972412734,-0.0742283148,340.7214376162,NaN,NaN,NaN,0,0,636.5277777778,1,0,40346.9234979558,-100,40.7636051985
1,3,4,Psi,0.4472135955,-0.894427191,303.7268509697,0.9964914966,240.875486507,0.3570309343,0.9340925607,644.9826908808,NaN,NaN,NaN,0,0,645.4731182796,2,0,40346.9234979558,-100,12.0947570759
1,3,5,Infinity,0,1,270.8006646964,0.6412854551,21.9317121995,-0.9119215052,0.4103646773,816.2836545847,NaN,NaN,NaN,0,0,686.07,1,0,40346.9234979558,-100,8.2570499596
1,4,1,Line,1,0,255.8300216941,0.3180422896,248.2438317461,0.9466499061,-0.3222637978,265.9995454335,NaN,NaN,NaN,0,0,580.9032258065,1,0,40346.9234979558,-100,26.7775190992
1,4,2,Pound,0.4472135955,-0.894427191,295.4132698441,0.9367736071,173.9080216666,0.5060146114,0.8625249058,840.0609301246,NaN,NaN,NaN,840.0609301246,1,596.5,4,0,40346.9234979558,-100,8.6731740461
1,4,3,Infinity,0,1,240.78413569,0.5026612604,15.5563491861,-0.7071067812,0.7071067812,693.4695279589,-3.1415926536,13.667997515,6.0087547178,693.4695279589,1,674.9452054795,1,0,40346.9234979558,-100,16.1996312544
1,4,4,Psi,0,1,242.6705585768,1.0296701129,216.205920363,0.2728879945,0.962045811,528.1331901304,4.7123889804,11.8769031178,7.1030681341,0,0,640.0161290323,2,0,40346.9234979558,-100,13.9957517599
1,4,5,Pound,1,0,290.8143737851,0.8218783225,158.9276564982,0.5474188818,0.8368587503,789.570376336,NaN,NaN,NaN,789.570376336,1,609.8604651163,4,0,40346.9234979558,-100,2.0901591525
1,4,6,Psi,-0.2747211279,0.9615239476,253.1422524985,1.0947818571,188.8094277307,0.3018917047,0.9533422254,515.5671200853,NaN,NaN,NaN,0,0,663.3859649123,2,0,40346.9234979558,-100,17.7263798993
1,5,1,Pound,-0.316227766,0.9486832981,301.3901126447,0.8182501895,160.7046981267,0.6284819372,0.7778241797,844.9197347829,NaN,NaN,NaN,844.9197347829,1,578.7926829268,4,0,40346.9234979558,-100,1.8822824441
1,5,2,Line,0.7071067812,-0.7071067812,294.4978777513,0.346450149,288.5168972521,0.9392864078,-0.343134149,304.6234630804,NaN,NaN,NaN,0,0,620.52,1,0,40346.9234979558,-100,25.1498686506
1,5,3,Psi,0,1,260.7220742477,1.0487957959,215.0581316761,0.330143294,0.9439308266,588.495510313,NaN,NaN,NaN,0,0,605.3559322034,2,0,40346.9234979558,-100,15.0915726761
1,5,4,Line,-0.7071067812,0.7071067812,270.7508079397,0.3427754932,266.6477076594,0.9413169241,-0.3375239967,277.9024258326,NaN,NaN,NaN,277.9024258326,1,632.6086956522,1,0,40346.9234979558,-100,25.3604109191
1,5,5,Line,0.4472135955,-0.894427191,291.3846255381,0.5327680898,284.6928169097,0.8605766828,-0.5093208939,299.3347297077,NaN,NaN,NaN,0,0,692.76,1,0,40346.9234979558,-100,14.4746369952
1,5,6,Infinity,-0.316227766,0.9486832981,260.969346859,0.679528458,47.4341649025,-0.9486832981,-0.316227766,1229.5712399485,NaN,NaN,NaN,614.7856199743,2,684.3309352518,2,0,40346.9234979558,-100,6.0658872976
1,5,7,Line,-0.8574929257,0.5144957554,377.8809336286,0.281571185,365.3874655759,0.9633609063,-0.2682084341,397.077081645,NaN,NaN,NaN,0,0,614.724137931,1,0,40346.9234979558,-100,28.867159467
1,6,1,Line,1,0,298.9397932695,0.3481994118,294.8389390837,0.9394959867,-0.3425599085,304.0807795984,NaN,NaN,NaN,0,0,565.3846153846,1,0,40346.9234979558,-100,25.0496432749
